junction,datetime,transition,transProb
HOR,2010-01-03 02:15:00,qDT,3.79443097944896e-05
HOR,2010-01-03 02:15:00,qDU,4.92971507914777e-05
HOR,2010-01-03 02:15:00,qTD,4.44067989355944e-06
HOR,2010-01-03 02:15:00,qTU,2.10921490926045e-05
HOR,2010-01-03 02:15:00,qUD,0.0237451245848077
HOR,2010-01-03 02:15:00,qUT,0.0251582394696641
TC,2010-01-03 02:15:00,qDT,0.000137801300096891
TC,2010-01-03 02:15:00,qDU,0.000817794673649105
TC,2010-01-03 02:15:00,qTD,8.06050918593784e-05
TC,2010-01-03 02:15:00,qTU,0.000329323105202788
TC,2010-01-03 02:15:00,qUD,0.0188458367202454
TC,2010-01-03 02:15:00,qUT,0.000271455465598671
HOR,2010-01-03 02:30:00,qDT,3.794368082401e-05
HOR,2010-01-03 02:30:00,qDU,4.93060180463997e-05
HOR,2010-01-03 02:30:00,qTD,4.43715511609623e-06
HOR,2010-01-03 02:30:00,qTU,2.10959429773263e-05
HOR,2010-01-03 02:30:00,qUD,0.0234232501238456
HOR,2010-01-03 02:30:00,qUT,0.025135062456914
TC,2010-01-03 02:30:00,qDT,0.000137801165261283
TC,2010-01-03 02:30:00,qDU,0.000803469814624718
TC,2010-01-03 02:30:00,qTD,8.05236343427885e-05
TC,2010-01-03 02:30:00,qTU,0.000329404214668637
TC,2010-01-03 02:30:00,qUD,0.0183557284901625
TC,2010-01-03 02:30:00,qUT,0.000273553325229809
HOR,2010-01-03 02:45:00,qDT,3.79430595258454e-05
HOR,2010-01-03 02:45:00,qDU,4.93133920541242e-05
HOR,2010-01-03 02:45:00,qTD,4.43426594680029e-06
HOR,2010-01-03 02:45:00,qTU,2.10990979712294e-05
HOR,2010-01-03 02:45:00,qUD,0.0231594054387871
HOR,2010-01-03 02:45:00,qUT,0.0251119303388199
TC,2010-01-03 02:45:00,qDT,0.00013780383077096
TC,2010-01-03 02:45:00,qDU,0.00080502069372885
TC,2010-01-03 02:45:00,qTD,8.03678749362437e-05
TC,2010-01-03 02:45:00,qTU,0.000329558916020683
TC,2010-01-03 02:45:00,qUD,0.0174249693651784
TC,2010-01-03 02:45:00,qUT,0.000279918869414167
HOR,2010-01-03 03:00:00,qDT,3.79427801817599e-05
HOR,2010-01-03 03:00:00,qDU,4.93203240667114e-05
HOR,2010-01-03 03:00:00,qTD,4.43141958041248e-06
HOR,2010-01-03 03:00:00,qTU,2.11020638560298e-05
HOR,2010-01-03 03:00:00,qUD,0.022899392168398
HOR,2010-01-03 03:00:00,qUT,0.025102141618263
TC,2010-01-03 03:00:00,qDT,0.000137806901594456
TC,2010-01-03 03:00:00,qDU,0.000811141981838951
TC,2010-01-03 03:00:00,qTD,8.02183775164462e-05
TC,2010-01-03 03:00:00,qTU,0.000329707333739032
TC,2010-01-03 03:00:00,qUD,0.0165324173613743
TC,2010-01-03 03:00:00,qUT,0.000286415185580797
HOR,2010-01-03 03:15:00,qDT,3.79424579330941e-05
HOR,2010-01-03 03:15:00,qDU,4.9327373746389e-05
HOR,2010-01-03 03:15:00,qTD,4.42854122663758e-06
HOR,2010-01-03 03:15:00,qTU,2.11050800850863e-05
HOR,2010-01-03 03:15:00,qUD,0.0226364379780956
HOR,2010-01-03 03:15:00,qUT,0.0250906877122557
TC,2010-01-03 03:15:00,qDT,0.000137815813492364
TC,2010-01-03 03:15:00,qDU,0.000837941671400078
TC,2010-01-03 03:15:00,qTD,7.99399582776995e-05
TC,2010-01-03 03:15:00,qTU,0.000329983016806117
TC,2010-01-03 03:15:00,qUD,0.0148729759730519
TC,2010-01-03 03:15:00,qUT,0.00030286976004904
HOR,2010-01-03 03:30:00,qDT,3.79422442221754e-05
HOR,2010-01-03 03:30:00,qDU,4.9334246747873e-05
HOR,2010-01-03 03:30:00,qTD,4.42569202698385e-06
HOR,2010-01-03 03:30:00,qTU,2.11080207217833e-05
HOR,2010-01-03 03:30:00,qUD,0.0223761063962204
HOR,2010-01-03 03:30:00,qUT,0.0250834628130312
TC,2010-01-03 03:30:00,qDT,0.000137825488279594
TC,2010-01-03 03:30:00,qDU,0.00086416958785865
TC,2010-01-03 03:30:00,qTD,7.96900415527888e-05
TC,2010-01-03 03:30:00,qTU,0.000330230052516247
TC,2010-01-03 03:30:00,qUD,0.0133831321801489
TC,2010-01-03 03:30:00,qUT,0.000320197202106024
HOR,2010-01-03 03:45:00,qDT,3.79419419279534e-05
HOR,2010-01-03 03:45:00,qDU,4.93438262429311e-05
HOR,2010-01-03 03:45:00,qTD,4.42172274570333e-06
HOR,2010-01-03 03:45:00,qTU,2.11121193408136e-05
HOR,2010-01-03 03:45:00,qUD,0.0220133929282071
HOR,2010-01-03 03:45:00,qUT,0.0250732175984075
TC,2010-01-03 03:45:00,qDT,0.000137848004799699
TC,2010-01-03 03:45:00,qDU,0.000953311389423656
TC,2010-01-03 03:45:00,qTD,7.92351424049625e-05
TC,2010-01-03 03:45:00,qTU,0.000330679948662926
TC,2010-01-03 03:45:00,qUD,0.0106789958420565
TC,2010-01-03 03:45:00,qUT,0.000350310597654045
HOR,2010-01-03 04:00:00,qDT,3.79415811962836e-05
HOR,2010-01-03 04:00:00,qDU,4.93533406024307e-05
HOR,2010-01-03 04:00:00,qTD,4.41780633554898e-06
HOR,2010-01-03 04:00:00,qTU,2.11161900913722e-05
HOR,2010-01-03 04:00:00,qUD,0.0216554735933115
HOR,2010-01-03 04:00:00,qUT,0.0250606656061323
TC,2010-01-03 04:00:00,qDT,0.000137875261595006
TC,2010-01-03 04:00:00,qDU,0.00104679469551542
TC,2010-01-03 04:00:00,qTD,7.88715227739296e-05
TC,2010-01-03 04:00:00,qTU,0.00033103807804084
TC,2010-01-03 04:00:00,qUD,0.00852088790852873
TC,2010-01-03 04:00:00,qUT,0.00038335391944176
HOR,2010-01-03 04:15:00,qDT,3.79416483583228e-05
HOR,2010-01-03 04:15:00,qDU,4.93757543932405e-05
HOR,2010-01-03 04:15:00,qTD,4.40818778503035e-06
HOR,2010-01-03 04:15:00,qTU,2.11257799067747e-05
HOR,2010-01-03 04:15:00,qUD,0.0207761073091043
HOR,2010-01-03 04:15:00,qUT,0.0250670898328216
TC,2010-01-03 04:15:00,qDT,0.000137950973733841
TC,2010-01-03 04:15:00,qDU,0.00138186163727087
TC,2010-01-03 04:15:00,qTD,7.83333323383283e-05
TC,2010-01-03 04:15:00,qTU,0.000331567976120011
TC,2010-01-03 04:15:00,qUD,0.00536959913092458
TC,2010-01-03 04:15:00,qUT,0.0004332954487656
HOR,2010-01-03 04:30:00,qDT,3.79417993799324e-05
HOR,2010-01-03 04:30:00,qDU,4.93971674072181e-05
HOR,2010-01-03 04:30:00,qTD,4.39896154064154e-06
HOR,2010-01-03 04:30:00,qTU,2.11349415364349e-05
HOR,2010-01-03 04:30:00,qUD,0.0199323436993532
HOR,2010-01-03 04:30:00,qUT,0.025076637626303
TC,2010-01-03 04:30:00,qDT,0.000138069015945203
TC,2010-01-03 04:30:00,qDU,0.00182919783825931
TC,2010-01-03 04:30:00,qTD,7.79844894521399e-05
TC,2010-01-03 04:30:00,qTU,0.000331907403033695
TC,2010-01-03 04:30:00,qUD,0.00337890648953299
TC,2010-01-03 04:30:00,qUT,0.00048996797504802
HOR,2010-01-03 04:45:00,qDT,3.79434677407906e-05
HOR,2010-01-03 04:45:00,qDU,4.9458871050795e-05
HOR,2010-01-03 04:45:00,qTD,4.37184761780785e-06
HOR,2010-01-03 04:45:00,qTU,2.11613416466081e-05
HOR,2010-01-03 04:45:00,qUD,0.0174511416261833
HOR,2010-01-03 04:45:00,qUT,0.0251525984711601
TC,2010-01-03 04:45:00,qDT,0.000138323594747599
TC,2010-01-03 04:45:00,qDU,0.00282716805497538
TC,2010-01-03 04:45:00,qTD,7.77121106706347e-05
TC,2010-01-03 04:45:00,qTU,0.000332170553086286
TC,2010-01-03 04:45:00,qUD,0.0019748853158911
TC,2010-01-03 04:45:00,qUT,0.00054549005616764
HOR,2010-01-03 05:00:00,qDT,3.79454535040282e-05
HOR,2010-01-03 05:00:00,qDU,4.95123546325603e-05
HOR,2010-01-03 05:00:00,qTD,4.3481148742705e-06
HOR,2010-01-03 05:00:00,qTU,2.11842247756888e-05
HOR,2010-01-03 05:00:00,qUD,0.0152775938125718
HOR,2010-01-03 05:00:00,qUT,0.0252396846592815
TC,2010-01-03 05:00:00,qDT,0.000138783809381403
TC,2010-01-03 05:00:00,qDU,0.00441133115997236
TC,2010-01-03 05:00:00,qTD,7.75137640445359e-05
TC,2010-01-03 05:00:00,qTU,0.000332358607068778
TC,2010-01-03 05:00:00,qUD,0.00115223710671506
TC,2010-01-03 05:00:00,qUT,0.00060735658753007
HOR,2010-01-03 05:15:00,qDT,3.79499519800156e-05
HOR,2010-01-03 05:15:00,qDU,4.9599184489468e-05
HOR,2010-01-03 05:15:00,qTD,4.30903974399241e-06
HOR,2010-01-03 05:15:00,qTU,2.12213752196272e-05
HOR,2010-01-03 05:15:00,qUD,0.0116953992755566
HOR,2010-01-03 05:15:00,qUT,0.0254312930873811
TC,2010-01-03 05:15:00,qDT,0.00013910501601591
TC,2010-01-03 05:15:00,qDU,0.0055642374158285
TC,2010-01-03 05:15:00,qTD,7.74294518244506e-05
TC,2010-01-03 05:15:00,qTU,0.000332439937792366
TC,2010-01-03 05:15:00,qUD,0.000914477953251374
TC,2010-01-03 05:15:00,qUT,0.000625251290190703
HOR,2010-01-03 05:30:00,qDT,3.79546268299599e-05
HOR,2010-01-03 05:30:00,qDU,4.9664437872559e-05
HOR,2010-01-03 05:30:00,qTD,4.27912071774567e-06
HOR,2010-01-03 05:30:00,qTU,2.12492940969962e-05
HOR,2010-01-03 05:30:00,qUD,0.00894967370344809
HOR,2010-01-03 05:30:00,qUT,0.0256263250143931
TC,2010-01-03 05:30:00,qDT,0.000139537391451532
TC,2010-01-03 05:30:00,qDU,0.00706637600215153
TC,2010-01-03 05:30:00,qTD,7.73396075356546e-05
TC,2010-01-03 05:30:00,qTU,0.000332526709765301
TC,2010-01-03 05:30:00,qUD,0.000725129610794265
TC,2010-01-03 05:30:00,qUT,0.000643671977695965
HOR,2010-01-03 05:45:00,qDT,3.79589985776307e-05
HOR,2010-01-03 05:45:00,qDU,4.9693780206181e-05
HOR,2010-01-03 05:45:00,qTD,4.26469603643432e-06
HOR,2010-01-03 05:45:00,qTU,2.12618483121253e-05
HOR,2010-01-03 05:45:00,qUD,0.00762492289847679
HOR,2010-01-03 05:45:00,qUT,0.0258033746043082
TC,2010-01-03 05:45:00,qDT,0.000139637270894204
TC,2010-01-03 05:45:00,qDU,0.00671286489174574
TC,2010-01-03 05:45:00,qTD,7.73560960722892e-05
TC,2010-01-03 05:45:00,qTU,0.000332500847761527
TC,2010-01-03 05:45:00,qUD,0.000741742659313578
TC,2010-01-03 05:45:00,qUT,0.00070001284872657
HOR,2010-01-03 06:00:00,qDT,3.79634398037806e-05
HOR,2010-01-03 06:00:00,qDU,4.9718065252351e-05
HOR,2010-01-03 06:00:00,qTD,4.25240540575211e-06
HOR,2010-01-03 06:00:00,qTU,2.12722387499457e-05
HOR,2010-01-03 06:00:00,qUD,0.00649571789132815
HOR,2010-01-03 06:00:00,qUT,0.0259823445195538
TC,2010-01-03 06:00:00,qDT,0.000139742844621907
TC,2010-01-03 06:00:00,qDU,0.00638753706453252
TC,2010-01-03 06:00:00,qTD,7.73715094119339e-05
TC,2010-01-03 06:00:00,qTU,0.000332475182160455
TC,2010-01-03 06:00:00,qUD,0.000758480774632871
TC,2010-01-03 06:00:00,qUT,0.000761635014809783
HOR,2010-01-03 06:15:00,qDT,3.79659438078955e-05
HOR,2010-01-03 06:15:00,qDU,4.97219411488552e-05
HOR,2010-01-03 06:15:00,qTD,4.24967574416931e-06
HOR,2010-01-03 06:15:00,qTU,2.12738970651605e-05
HOR,2010-01-03 06:15:00,qUD,0.00624481599716539
HOR,2010-01-03 06:15:00,qUT,0.0260815601536027
TC,2010-01-03 06:15:00,qDT,0.000139824158090742
TC,2010-01-03 06:15:00,qDU,0.00567333628354125
TC,2010-01-03 06:15:00,qTD,7.74097185864695e-05
TC,2010-01-03 06:15:00,qTU,0.000332419148028356
TC,2010-01-03 06:15:00,qUD,0.000821493161203513
TC,2010-01-03 06:15:00,qUT,0.000868781492026938
HOR,2010-01-03 06:30:00,qDT,3.79685320489625e-05
HOR,2010-01-03 06:30:00,qDU,4.97254824912945e-05
HOR,2010-01-03 06:30:00,qTD,4.24705318159323e-06
HOR,2010-01-03 06:30:00,qTU,2.12754122403048e-05
HOR,2010-01-03 06:30:00,qUD,0.00600373867000842
HOR,2010-01-03 06:30:00,qUT,0.0261840373469515
TC,2010-01-03 06:30:00,qDT,0.000139903229020704
TC,2010-01-03 06:30:00,qDU,0.00504210619412719
TC,2010-01-03 06:30:00,qTD,7.74455146168355e-05
